scan	aggressive	total_late_cancers_original	final_late_cancers	number_needed_detect_late	total_ied	final_ied	number_needed_detect_mortality
incident	AggFast	409.2427623592045	232.66064776010663	26151.992111578482	392.5155326535447	318.6847296469828	168486.1166492182
incident	Fast	409.2427623592045	205.5711447654374	18659.47904697655	392.51553265354465	308.3130691397891	127535.79776013312
incident	MIS	409.2427623592045	152.35196750088815	10417.765674442286	392.5155326535447	288.5866374842109	81185.80737619061
incident	Slow	409.2427623592045	189.23904401660275	15460.006429584235	392.5155326535447	301.81095177074616	108818.047819871
incident	VSlow	409.2427623592045	180.7051168267736	14064.354756058054	392.5155326535447	298.63929220483647	101091.51704385481
